Time	Pitot	Thrust	AX	AY	AZ
12004	1.00	0.00	-8.75	-1.96	-2.68
12045	7.00	6.00	-8.74	-1.95	-2.67
12075	10.00	9.00	-8.73	-1.99	-2.58
12105	12.00	11.00	-8.71	-1.95	-2.69
12174	2.00	1.00	-8.75	-2.00	-2.68
12205	6.00	5.00	-8.74	-1.99	-2.66
12234	9.00	9.00	-8.68	-1.98	-2.68
12304	0.00	0.00	-8.73	-2.00	-2.69
12345	7.00	6.00	-8.77	-1.95	-2.61
12394	6.00	5.00	-8.75	-1.97	-2.67
12435	2.00	2.00	-8.73	-1.98	-2.65
12465	11.00	10.00	-8.78	-1.91	-2.60
12495	15.00	14.00	-8.72	-2.02	-2.60
12565	2.00	2.00	-8.72	-1.99	-2.69
12595	9.00	8.00	-8.71	-1.97	-2.66
12625	12.00	11.00	-8.72	-1.99	-2.62
12684	1.00	0.00	-8.74	-1.91	-2.71
12725	5.00	4.00	-8.71	-1.94	-2.66
12754	8.00	7.00	-8.78	-1.96	-2.70
12785	11.00	10.00	-8.79	-1.89	-2.63
12865	1.00	0.00	-8.79	-1.98	-2.61
12895	8.00	7.00	-8.75	-1.94	-2.65
12925	12.00	11.00	-8.70	-1.90	-2.70
12954	16.00	14.00	-8.73	-1.97	-2.70
12985	17.00	17.00	-8.74	-1.92	-2.66
13015	23.00	22.00	-8.74	-1.95	-2.68
13074	9.00	8.00	-8.70	-1.96	-2.65
13115	9.00	8.00	-8.71	-2.03	-2.67
13145	14.00	13.00	-8.74	-1.93	-2.67
13175	17.00	16.00	-8.70	-2.01	-2.65
13245	4.00	3.00	-8.75	-2.03	-2.74
13275	9.00	8.00	-8.74	-2.03	-2.65
13305	11.00	10.00	-8.74	-1.97	-2.55
13374	3.00	2.00	-8.77	-1.98	-2.69
13405	6.00	5.00	-8.71	-2.03	-2.70
13434	9.00	9.00	-8.71	-1.99	-2.67
13465	15.00	14.00	-8.80	-1.98	-2.75
13504	13.00	12.00	-8.76	-1.93	-2.69
13535	15.00	15.00	-8.75	-1.99	-2.72
13565	21.00	20.00	-8.75	-1.95	-2.59
13624	8.00	7.00	-8.75	-2.02	-2.66
13655	10.00	9.00	-8.74	-1.99	-2.68
13684	12.00	12.00	-8.75	-1.94	-2.69
13754	0.00	0.00	-8.81	-2.01	-2.66
13795	6.00	5.00	-8.73	-1.91	-2.60
13825	11.00	10.00	-8.76	-2.00	-2.62
13855	12.00	11.00	-8.78	-2.01	-2.72
13925	3.00	2.00	-8.77	-1.95	-2.66
13955	6.00	5.00	-8.75	-1.94	-2.63
13985	9.00	8.00	-8.74	-2.00	-2.63
14054	0.00	0.00	-8.76	-1.97	-2.70
14095	6.00	5.00	-8.73	-1.94	-2.66
14144	5.00	4.00	-8.74	-1.99	-2.69
14185	2.00	1.00	-8.71	-1.94	-2.57
14215	9.00	8.00	-8.76	-1.95	-2.69
14245	15.00	14.00	-8.79	-2.00	-2.67
14314	1.00	0.00	-8.72	-2.02	-2.69
14345	9.00	8.00	-8.74	-1.97	-2.72
14374	13.00	12.00	-8.72	-1.94	-2.66
14434	0.00	0.00	-8.77	-1.96	-2.66
14485	0.00	0.00	-8.72	-1.96	-2.68
14515	7.00	6.00	-8.74	-1.91	-2.67
14545	13.00	12.00	-8.75	-1.96	-2.66
14604	2.00	1.00	-8.73	-1.97	-2.58
14635	6.00	6.00	-8.75	-2.00	-2.63
14664	12.00	11.00	-8.67	-1.98	-2.66
14704	12.00	11.00	-8.74	-1.93	-2.64
14735	14.00	13.00	-8.77	-1.95	-2.64
14765	18.00	18.00	-8.75	-1.99	-2.70
14795	23.00	22.00	-8.75	-1.92	-2.65
14865	3.00	2.00	-8.72	-1.98	-2.66
14895	11.00	10.00	-8.74	-1.97	-2.69
14925	15.00	14.00	-8.72	-1.90	-2.67
14995	3.00	2.00	-8.76	-1.94	-2.60
15025	9.00	8.00	-8.73	-1.98	-2.68
15055	11.00	10.00	-8.72	-1.99	-2.72
15124	3.00	2.00	-8.76	-1.95	-2.61
15155	6.00	5.00	-8.65	-1.91	-2.68
15184	9.00	8.00	-8.73	-1.94	-2.70
15215	13.00	13.00	-8.75	-1.98	-2.66
15244	25.00	21.00	-8.74	-1.94	-2.67
15275	25.00	24.00	-8.72	-1.97	-2.70
15305	24.00	23.00	-8.71	-1.95	-2.62
15374	8.00	7.00	-8.80	-1.91	-2.58
15405	9.00	8.00	-8.73	-1.94	-2.59
15434	12.00	11.00	-8.75	-2.00	-2.69
15504	1.00	0.00	-8.80	-1.95	-2.67
15545	6.00	5.00	-8.76	-1.96	-2.66
15575	12.00	10.00	-8.66	-1.98	-2.73
15605	13.00	12.00	-8.74	-1.96	-2.68
15675	4.00	3.00	-8.78	-1.93	-2.58
15705	7.00	6.00	-8.74	-1.91	-2.59
15735	10.00	9.00	-8.73	-1.96	-2.54
15804	1.00	0.00	-8.72	-1.96	-2.63
15865	12.00	11.00	-8.72	-1.99	-2.68
15935	0.00	0.00	-8.76	-2.00	-2.70
15965	6.00	6.00	-8.74	-1.93	-2.63
15995	13.00	12.00	-8.74	-2.01	-2.63
16064	0.00	0.00	-8.78	-1.96	-2.65
16105	3.00	2.00	-8.75	-1.95	-2.62
16135	7.00	6.00	-8.74	-1.95	-2.67
16165	11.00	10.00	-8.70	-1.93	-2.61
16234	0.00	0.00	-8.76	-1.91	-2.70
16265	6.00	6.00	-8.72	-1.99	-2.64
16294	13.00	12.00	-8.71	-1.94	-2.63
16354	2.00	1.00	-8.72	-1.93	-2.69
16405	2.00	1.00	-8.76	-1.92	-2.65
16435	6.00	5.00	-8.73	-1.94	-2.61
16465	10.00	9.00	-8.70	-1.93	-2.66
16494	22.00	18.00	-8.72	-1.95	-2.54
16525	23.00	22.00	-8.71	-1.94	-2.66
16555	23.00	22.00	-8.78	-1.96	-2.62
16614	7.00	6.00	-8.79	-2.00	-2.66
16655	7.00	6.00	-8.72	-1.98	-2.65
16685	10.00	9.00	-8.77	-1.94	-2.73
16715	13.00	13.00	-8.77	-1.97	-2.67
16784	0.00	0.00	-8.74	-1.95	-2.59
16874	3.00	2.00	-8.76	-2.00	-2.60
16915	1.00	0.00	-8.68	-1.96	-2.69
16945	9.00	9.00	-8.70	-1.90	-2.64
16975	15.00	13.00	-8.68	-2.00	-2.62
17044	2.00	1.00	-8.66	-1.98	-2.65
17075	9.00	8.00	-8.74	-1.95	-2.69
17124	7.00	6.00	-8.77	-1.94	-2.68
17155	10.00	9.00	-8.71	-1.95	-2.66
17185	12.00	11.00	-8.70	-1.97	-2.69
17254	2.00	1.00	-8.77	-1.96	-2.72
17344	1.00	0.00	-8.75	-1.94	-2.63
17385	1.00	0.00	-8.85	-1.97	-2.64
17415	6.00	5.00	-8.74	-1.90	-2.63
17445	13.00	12.00	-8.72	-1.94	-2.66
17514	0.00	0.00	-8.80	-1.92	-2.68
17545	8.00	7.00	-8.74	-1.98	-2.67
17574	14.00	13.00	-8.79	-1.98	-2.65
17634	1.00	0.00	-8.73	-1.94	-2.59
17685	0.00	0.00	-8.73	-1.95	-2.59
17715	5.00	5.00	-8.76	-1.99	-2.62
17764	3.00	3.00	-8.70	-1.92	-2.69
17795	11.00	10.00	-8.70	-1.98	-2.61
17825	16.00	15.00	-8.74	-1.95	-2.62
17894	2.00	2.00	-8.77	-2.00	-2.64
17925	9.00	8.00	-8.78	-1.96	-2.70
17954	12.00	11.00	-8.78	-1.97	-2.69
18024	3.00	2.00	-8.76	-1.96	-2.68
18065	0.00	0.00	-8.76	-2.02	-2.64
18095	9.00	8.00	-8.73	-1.90	-2.68
18125	14.00	13.00	-8.72	-2.00	-2.66
18194	2.00	1.00	-8.74	-1.90	-2.64
18225	9.00	8.00	-8.70	-1.91	-2.61
18254	12.00	11.00	-8.72	-1.94	-2.61
18324	3.00	2.00	-8.72	-1.87	-2.67
18365	0.00	0.00	-8.74	-1.96	-2.57
18404	7.00	6.00	-8.74	-1.88	-2.74
18445	7.00	7.00	-8.78	-1.97	-2.73
18475	13.00	12.00	-8.74	-1.96	-2.66
18505	16.00	15.00	-8.69	-1.99	-2.60
18575	4.00	3.00	-8.70	-1.98	-2.66
18605	9.00	8.00	-8.74	-2.03	-2.72
18635	10.00	9.00	-8.79	-1.93	-2.66
18704	3.00	2.00	-8.70	-1.98	-2.68
18794	0.00	0.00	-8.74	-1.94	-2.63
18835	1.00	0.00	-8.79	-1.94	-2.64
18865	6.00	5.00	-8.75	-1.91	-2.68
18895	12.00	11.00	-8.76	-1.93	-2.63
18964	0.00	0.00	-8.71	-1.96	-2.68
18995	8.00	7.00	-8.73	-1.93	-2.66
19044	6.00	5.00	-8.74	-1.89	-2.56
19134	0.00	0.00	-8.74	-1.91	-2.63
19175	6.00	5.00	-8.73	-1.96	-2.69
19205	11.00	10.00	-8.76	-1.93	-2.70
19235	12.00	11.00	-8.70	-1.96	-2.67
19305	3.00	2.00	-8.68	-1.96	-2.61
19335	6.00	5.00	-8.73	-1.97	-2.66
19364	9.00	8.00	-8.74	-1.92	-2.63
19434	0.00	0.00	-8.68	-1.99	-2.64
19475	6.00	5.00	-8.72	-1.94	-2.70
19505	11.00	10.00	-8.75	-1.89	-2.62
19535	12.00	11.00	-8.76	-1.94	-2.71
19604	3.00	2.00	-8.74	-1.93	-2.60
19635	6.00	5.00	-8.72	-1.93	-2.73
19664	9.00	8.00	-8.77	-2.02	-2.57
19715	5.00	5.00	-8.74	-1.92	-2.56
19744	12.00	11.00	-8.72	-1.93	-2.65
19814	0.00	0.00	-8.77	-1.94	-2.62
19855	6.00	5.00	-8.75	-1.95	-2.64
19885	8.00	7.00	-8.66	-1.95	-2.66
19915	11.00	10.00	-8.71	-1.95	-2.66
19984	0.00	0.00	-8.77	-1.99	-2.67
20015	5.00	5.00	-8.73	-1.94	-2.66
20044	11.00	11.00	-8.73	-1.88	-2.66
20114	0.00	0.00	-8.68	-1.98	-2.69
20155	6.00	5.00	-8.71	-2.00	-2.70
20185	8.00	7.00	-8.74	-1.98	-2.69
20215	11.00	10.00	-8.74	-1.94	-2.68
20284	1.00	0.00	-8.69	-1.93	-2.62
20324	8.00	7.00	-8.78	-1.89	-2.65
20364	4.00	3.00	-8.74	-1.94	-2.71
20395	10.00	9.00	-8.81	-1.93	-2.70
20424	16.00	15.00	-8.69	-1.92	-2.72
20494	1.00	0.00	-8.74	-1.92	-2.64
20584	0.00	0.00	-8.72	-2.01	-2.70
20625	5.00	5.00	-8.72	-1.99	-2.60
20655	11.00	10.00	-8.75	-1.93	-2.70
20685	12.00	11.00	-8.75	-1.93	-2.67
20755	4.00	3.00	-8.70	-1.95	-2.72
20785	6.00	5.00	-8.74	-1.98	-2.64
20815	10.00	9.00	-8.74	-1.94	-2.71
20884	0.00	0.00	-8.71	-1.91	-2.63
20964	0.00	0.00	-8.75	-1.90	-2.58
20995	7.00	6.00	-8.70	-1.95	-2.67
21025	14.00	13.00	-8.73	-1.93	-2.64
21094	0.00	0.00	-8.72	-1.91	-2.63
